"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 10 09:16:54 GMT 2022","Mon Oct 10 09:17:02 GMT 2022","8484","","simple google tests for git","","simple google tests for git","search test1","search test1",""
"passed","Mon Oct 10 09:16:51 GMT 2022","Mon Oct 10 09:16:52 GMT 2022","730","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
